Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
adjuratory.properties,available,54,0%,10,"Law,Politics,Religion",,,
viii.properties,available,54,6%,4,Mathematics,,,
abhorrent.properties,available,54,1%,9,Humanities,,,
abatable.properties,available,54,1%,8,Law,,,
twoscore.properties,available,54,2%,8,Mathematics,,,
quaternion.properties,available,54,6%,10,Mathematics,,,
abient.properties,available,54,1%,6,Science,,,
fin.properties,available,54,30%,3,Finance,,,
abducens.properties,available,54,1%,8,Medicine,,,
abaxial.properties,available,54,1%,7,Science,,,
adductive.properties,available,54,0%,9,"Engineering,Mathematics,Science",,,
deserted.properties,available,54,3%,8,"Hospitality,Real Estate",,,
aboral.properties,available,54,2%,6,Science,,,
acoustical.properties,available,54,4%,10,Science,,,
accursed.properties,available,54,3%,8,"Entertainment,Media,Religion",,,
adpressed.properties,available,54,0%,9,"Agriculture,Manufacturing,Retail",,,
unnatural.properties,available,54,4%,9,"Medicine,Science",,,
adducting.properties,available,54,1%,9,"Engineering,Mathematics,Science",,,
accentual.properties,available,54,3%,9,"Arts,Entertainment",,,
fortyfive.properties,available,54,4%,10,Mathematics,,,
xxx.properties,available,53,30%,3,"Arts,Entertainment,Media",,,
septet.properties,available,53,1%,6,General,,,
sestet.properties,available,53,1%,6,Arts,,,
ninetyone.properties,available,52,5%,10,Mathematics,,,
lxvii.properties,available,52,1%,5,Mathematics,,,
xcvi.properties,available,52,2%,4,Mathematics,,,
ablated.properties,available,52,1%,7,Science,,,
lxxxv.properties,available,52,1%,5,Mathematics,,,
sixtyfive.properties,available,52,3%,10,Mathematics,,,
decumbent.properties,available,52,1%,9,"Healthcare,Medicine,Science",,,
lxxxiii.properties,available,52,1%,7,Mathematics,,,
abominable.properties,available,52,2%,10,"Entertainment,Humanities",,,
lxii.properties,available,52,1%,4,Mathematics,,,
ninetysix.properties,available,52,4%,10,Mathematics,,,
repulsive.properties,available,52,1%,9,Humanities,,,
aboulic.properties,available,52,1%,7,Medicine,,,
lxi.properties,available,52,5%,3,Mathematics,,,
xciv.properties,available,52,2%,4,Mathematics,,,
eightytwo.properties,available,52,4%,10,Mathematics,,,
sixtyfour.properties,available,52,3%,10,Mathematics,,,
lxxxvii.properties,available,52,1%,7,Mathematics,,,
xcviii.properties,available,52,1%,6,Mathematics,,,
littlejoe.properties,available,52,2%,10,"Entertainment,Media",,,
xcii.properties,available,52,2%,4,Mathematics,,,
lxiv.properties,available,52,3%,4,Mathematics,,,
lxxxii.properties,available,52,1%,6,Mathematics,,,
ninetytwo.properties,available,52,4%,10,Mathematics,,,
lxxxvi.properties,available,52,1%,6,Mathematics,,,
tierce.properties,available,52,3%,6,General,,,
xcv.properties,available,52,7%,3,Mathematics,,,
lxv.properties,available,52,5%,3,Mathematics,,,
lxvi.properties,available,52,3%,4,Mathematics,,,
sixtysix.properties,available,52,4%,9,Mathematics,,,
xci.properties,available,52,4%,3,Mathematics,,,
xcvii.properties,available,52,1%,5,Mathematics,,,
odious.properties,available,52,2%,6,"Entertainment,Humanities",,,
abusive.properties,available,52,3%,7,"Healthcare,Law",,,
chagrined.properties,available,52,1%,9,Humanities,,,
lxxiii.properties,available,52,1%,6,Mathematics,,,
ixl.properties,available,52,9%,3,Mathematics,,,
lxxv.properties,available,52,1%,4,Mathematics,,,
detestable.properties,available,52,1%,10,Humanities,,,
sixtytwo.properties,available,52,3%,9,Mathematics,,,
repugnant.properties,available,52,1%,9,Humanities,,,
lxxvii.properties,available,52,2%,6,Mathematics,,,
lxviii.properties,available,52,1%,6,Mathematics,,,
uphill.properties,available,52,7%,6,"Sports,Transportation,Travel",,,
abysmal.properties,available,52,4%,7,"Arts,Entertainment,Media",,,
lxxxiv.properties,available,52,1%,6,Mathematics,,,
abstruse.properties,available,52,5%,8,"Humanities,Mathematics,Science",,,
ixc.properties,available,52,5%,3,Mathematics,,,
lxxii.properties,available,52,1%,5,Mathematics,,,
lxiii.properties,available,52,2%,5,Mathematics,,,
lxxiv.properties,available,52,1%,5,Mathematics,,,
xciii.properties,available,52,1%,5,Mathematics,,,
eightyone.properties,available,52,3%,10,Mathematics,,,
adenoidal.properties,available,52,1%,9,"Health and Fitness,Medicine,Science",,,
lxxvi.properties,available,52,1%,5,Mathematics,,,
lxxxi.properties,available,52,1%,5,Mathematics,,,
lxxi.properties,available,52,1%,4,Mathematics,,,
aculeated.properties,available,50,0%,9,"Engineering,Medicine,Science",,,
abomasal.properties,available,50,0%,8,Agriculture,,,
gillless.properties,available,50,0%,9,Science,,,
acerose.properties,available,50,1%,7,Science,,,
adhominem.properties,available,50,2%,10,"Humanities,Law,Politics",,,
broached.properties,available,50,0%,8,Food and Beverage,,,
triplet.properties,available,50,8%,7,Science,,,
abdicable.properties,available,50,0%,9,Law,,,
abbatial.properties,available,50,0%,8,Religion,,,
acapnotic.properties,available,50,0%,9,"Healthcare,Medicine,Science",,,
acetous.properties,available,50,1%,7,Science,,,
lxx.properties,available,50,5%,3,Mathematics,,,
quint.properties,available,50,13%,5,"Arts,Entertainment",,,
abactinal.properties,available,50,0%,9,Science,,,
acellular.properties,available,50,1%,9,Science,,,
acerbic.properties,available,50,2%,7,"Arts,Humanities,Media",,,
vinegary.properties,available,50,1%,8,Food and Beverage,,,
acaudal.properties,available,50,1%,7,"Agriculture,Science",,,
aborticide.properties,available,50,0%,10,Medicine,,,
abducting.properties,available,50,0%,9,Medicine,,,
adactylous.properties,available,50,0%,10,Science,,,
acapnic.properties,available,50,0%,7,"Healthcare,Medicine,Science",,,
acquitted.properties,available,50,1%,9,Law,,,
acetose.properties,available,50,1%,7,Science,,,
scummy.properties,available,50,1%,6,Humanities,,,
abranchial.properties,available,50,0%,10,Science,,,
acerb.properties,available,50,2%,5,Science,,,
needlelike.properties,available,50,0%,10,"Engineering,Medicine,Science",,,
ogdoad.properties,available,50,1%,6,Mathematics,,,
trine.properties,available,50,11%,5,"General,Religion",,,
cinque.properties,available,50,7%,6,Mathematics,,,
spinous.properties,available,50,1%,7,"Agriculture,Science",,,
ilxx.properties,available,48,1%,4,Mathematics,,,
lxxxviii.properties,available,48,1%,8,Mathematics,,,
abstracted.properties,available,48,5%,10,"Arts,Humanities,Science",,,
apriori.properties,available,48,13%,8,Mathematics,,,
execrable.properties,available,48,0%,9,"Entertainment,Humanities",,,
ilxxx.properties,available,48,1%,5,Mathematics,,,
notguilty.properties,available,48,5%,10,Law,,,
abyssal.properties,available,48,12%,7,"Arts,Entertainment,Media",,,
acapnial.properties,available,46,0%,8,"Healthcare,Medicine,Science",,,
acetabular.properties,available,46,1%,10,Science,,,
acanthous.properties,available,46,0%,9,"Agriculture,Science",,,
achromous.properties,available,46,1%,9,Science,,,
acanthotic.properties,available,46,0%,10,"Agriculture,Science",,,
stemless.properties,available,46,2%,8,"Agriculture,Science",,,
acanthoid.properties,available,46,1%,9,"Agriculture,Science",,,
achromic.properties,available,46,2%,8,Science,,,
achenial.properties,available,46,1%,8,Science,,,
theabsurd.properties,available,46,1%,10,"Arts,Entertainment,Media",,,
acetylenic.properties,available,46,1%,10,Science,,,
acetonic.properties,available,46,1%,8,Science,,,
acicular.properties,available,46,2%,8,Science,,,
vinegarish.properties,available,46,1%,10,Food and Beverage,,,
acetylic.properties,available,46,1%,8,Science,,,
cotyloid.properties,available,46,1%,8,Science,,,
acarpous.properties,available,46,0%,8,"Agriculture,Science",,,
stripling.properties,available,46,2%,9,"Education,Entertainment,Healthcare",,,
acarpelous.properties,available,46,0%,10,"Agriculture,Science",,,
acaudate.properties,available,46,1%,8,"Agriculture,Science",,,
quaternary.properties,available,46,3%,10,Mathematics,,,
acephalous.properties,available,46,1%,10,Science,,,
acheronian.properties,available,46,1%,10,Humanities,,,
accusatory.properties,available,44,1%,10,Law,,,
cotyloidal.properties,available,44,1%,10,Science,,,
acherontic.properties,available,44,1%,10,Humanities,,,
phoebe.properties,available,41,14%,6,Science,,,
abscessed.properties,available,41,0%,9,Healthcare,,,
accusive.properties,available,40,1%,8,Law,,,
scurrilous.properties,available,40,1%,10,"Entertainment,Media,Politics",,,
accurst.properties,available,40,1%,7,Religion,,,
